N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
488,0.001784,0.001786,0.001805,0.001981
489,0.001962,0.001746,0.001877,0.001861
490,0.001786,0.001655,0.002118,0.002038
491,0.001823,0.001742,0.0021,0.001995
492,0.001853,0.001812,0.00197,0.002216
493,0.001801,0.00172,0.001919,0.002118
494,0.001877,0.001672,0.001873,0.002161
495,0.001806,0.001652,0.00192,0.001939
496,0.001898,0.001637,0.001809,0.001956
497,0.002066,0.001665,0.001829,0.001904
498,0.001953,0.001704,0.001866,0.00184
499,0.001784,0.001726,0.001863,0.001894
500,0.001839,0.001722,0.001957,0.001925
501,0.001791,0.001735,0.001961,0.002076
502,0.001808,0.001733,0.001884,0.002032
503,0.001825,0.001666,0.001849,0.002111
504,0.001802,0.001596,0.001912,0.001968
505,0.001862,0.001649,0.001811,0.001987
506,0.001925,0.001573,0.001829,0.001874
507,0.001889,0.001646,0.001855,0.001931
508,0.001772,0.001749,0.001863,0.00192
509,0.001838,0.00168,0.001944,0.001895
510,0.001753,0.001733,0.002018,0.001999
511,0.001823,0.001652,0.001965,0.00204
512,0.001758,0.001582,0.001911,0.002182
513,0.001777,0.001602,0.001863,0.001986
514,0.001905,0.001598,0.001817,0.00194
515,0.001986,0.001727,0.001843,0.001973
516,0.001968,0.001714,0.0018,0.001942
517,0.00184,0.001954,0.001817,0.001879
518,0.001806,0.001644,0.001842,0.001899
519,0.001859,0.001675,0.001986,0.001947
520,0.001821,0.001644,0.001869,0.002082
521,0.001899,0.001682,0.001878,0.002216
522,0.001924,0.001619,0.00195,0.002262
523,0.00181,0.001712,0.001829,0.002044
524,0.001885,0.001674,0.001925,0.002172
525,0.001891,0.001649,0.00181,0.002034
526,0.002026,0.001721,0.001832,0.001886
527,0.001838,0.001771,0.001877,0.001927
528,0.00182,0.001764,0.001938,0.001884
529,0.001826,0.00165,0.001884,0.001954
530,0.001921,0.00162,0.002023,0.002009
531,0.001821,0.001678,0.001883,0.002187
532,0.00183,0.001629,0.001888,0.002095
533,0.001866,0.001614,0.001829,0.001893
534,0.002041,0.001648,0.001833,0.002038
535,0.00197,0.001662,0.00182,0.001926
536,0.001899,0.001683,0.001882,0.001871
537,0.001878,0.001806,0.00183,0.001934
538,0.001796,0.001654,0.001923,0.001963
539,0.001807,0.00174,0.002004,0.001913
540,0.001834,0.001647,0.001871,0.002107
541,0.001803,0.001623,0.00188,0.002101
542,0.001804,0.001627,0.001958,0.002035
543,0.001883,0.001655,0.001757,0.001911
544,0.001924,0.001677,0.001859,0.002032
545,0.001966,0.001761,0.001862,0.00196
546,0.001845,0.001765,0.001858,0.001921
547,0.00186,0.00183,0.001938,0.001924
548,0.001826,0.00164,0.001903,0.001882
549,0.001829,0.001751,0.002006,0.001993
550,0.001898,0.001651,0.00198,0.002052
551,0.001885,0.001621,0.001842,0.002279
552,0.001871,0.001662,0.001839,0.002039
553,0.0019,0.001625,0.002004,0.002107
554,0.001967,0.00162,0.001868,0.001978
555,0.002056,0.001631,0.001856,0.001926
556,0.001887,0.001683,0.001876,0.001912
557,0.002008,0.001786,0.001892,0.002001
558,0.001855,0.001694,0.001963,0.001923
559,0.00191,0.001627,0.001995,0.001876
560,0.00195,0.001753,0.002003,0.001973
561,0.001831,0.001642,0.001865,0.002164
562,0.001858,0.001699,0.001904,0.002083
563,0.001812,0.001588,0.001918,0.00204
564,0.002014,0.001641,0.001884,0.002047
565,0.002012,0.00164,0.001941,0.001972
566,0.001916,0.001719,0.001849,0.001948
567,0.001897,0.001806,0.001845,0.00183
568,0.001878,0.001816,0.001899,0.001859
569,0.00184,0.00178,0.002015,0.00191
570,0.001881,0.001664,0.001958,0.002002
571,0.001891,0.001677,0.001944,0.002121
572,0.001894,0.001657,0.00192,0.002026
573,0.001852,0.001682,0.001807,0.001942
574,0.001977,0.001647,0.001845,0.001908
575,0.002091,0.001666,0.00192,0.002035
576,0.001982,0.001666,0.001803,0.001929
577,0.001876,0.001754,0.001826,0.001888
578,0.001861,0.001931,0.001879,0.00183
579,0.001882,0.001696,0.002044,0.001951
580,0.001796,0.001666,0.002028,0.001849
581,0.001832,0.001671,0.001822,0.002051
582,0.001939,0.00163,0.001884,0.001987
583,0.001903,0.001678,0.001865,0.001918
584,0.001929,0.001622,0.001847,0.00198
585,0.002055,0.001665,0.001843,0.00191
586,0.002112,0.001764,0.001996,0.00188
587,0.001963,0.00184,0.001883,0.002089
588,0.002018,0.001962,0.002069,0.001994
589,0.001905,0.002019,0.001981,0.001796
590,0.001951,0.001773,0.002039,0.00181
591,0.001906,0.001693,0.002015,0.001878
592,0.001868,0.001682,0.001888,0.002032
593,0.001838,0.001629,0.001844,0.002184
594,0.001885,0.001639,0.001947,0.001998
595,0.001891,0.00166,0.001787,0.00199
